cmd,alias,cmdline,comment,group,from,tag
"[Hotstrings] ..l","","zmd:send({%s:last})","输出最后一次选中文本内容","Hotstrings-default","[7] xfold.ini","xfold.ini"
"[Hotstrings] ..r","","zmd:send(+{home}^c{end});delay(100, openc, xfoldCmdlineRun)","xfold打开/运行-当前到行首文本作为命令行","Hotstrings-default","[7] xfold.ini","xfold.ini"
"[Hotstrings] ..t","","zmd:send(+{home}^c);delay(100,nothing,{%c:xfoldCmdlineRun>x});send(^v,300)","输出xfold执行结果-当前到行首文本作为命令行","Hotstrings-default","[7] xfold.ini","xfold.ini"
"[Hotstrings] ..v","","zmd:send(+{home}^c{end});delay(100,__sendvcfg,{%c})","输出xfold配置值文本-当前到空格或英文句点间作为关键词","Hotstrings-default","[7] xfold.ini","xfold.ini"
"[Hotstrings] ..z","","zmd:delay(10,xfoldCmdline)","xfold命令行窗口","Hotstrings-default","[7] xfold.ini","xfold.ini"
"[Hotstrings] .b","","zmd:winmove(b)","窗口移动到最底端-需要终止符触发","Hotstrings","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"[Hotstrings] .c","","zmd:winmove(c)","窗口移动到居中位置-需要终止符触发","Hotstrings","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"[Hotstrings] .l","","zmd:winmove(l)","窗口移动到最左侧-需要终止符触发","Hotstrings","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"[Hotstrings] .r","","zmd:winmove(r)","窗口移动到最右侧-需要终止符触发","Hotstrings","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"[Hotstrings] .t","","zmd:winmove(t)","窗口移动到最顶端-需要终止符触发","Hotstrings","[3] mixins\a1-adv\winctl\xfold-winctl.ini","xfold-winctl.ini"
"[Hotstrings] ]]","","zmd:send(datestr(yyyyMMdd ddd))","输出当前日期与星期(yyyyMMdd ddd)","Hotstrings","[7] xfold.ini","xfold.ini"
"[Hotstrings] ]d","","zmd:send(datestr(yyyyMMdd))","输出当前日期(yyyyMMdd)","Hotstrings","[7] xfold.ini","xfold.ini"
"[Hotstrings] ]m","","zmd:send(datestr(yyyyMM))","输出当前月份(yyyyMM)","Hotstrings","[7] xfold.ini","xfold.ini"
"[Hotstrings] ]t","","zmd:send(datestr(yyyy/MM/dd HH:mm:ss))","输出当前时间(yyyy/MM/dd HH:mm:ss)","Hotstrings","[7] xfold.ini","xfold.ini"
"[Hotstrings] ]w","","zmd:send(concat(W,datestr(YWeek)))","输出当前周次(Wyyyy##)","Hotstrings","[7] xfold.ini","xfold.ini"
"activateChromeTab","ctab,chrometab","activateChromeTab","激活Chrome页签","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"addCmd","ncmd","addCmd","新增命令","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"amap","","https://ditu.amap.com/search?query={%p}","高德地图搜索-关键词","Cmds","[7] xfold.ini","xfold.ini"
"baidu","","https://www.baidu.com/s?wd={%p}","百度搜索-关键词","Cmds-default","[7] xfold.ini","xfold.ini"
"bili","","https://search.bilibili.com/all?keyword={%p}","B站搜索-关键词","Cmds","[7] xfold.ini","xfold.ini"
"bimg","","https://image.baidu.com/search/index?word={%p}","图片搜索-百度-关键词","Cmds-default","[7] xfold.ini","xfold.ini"
"bindHotKey","bind","bindHotKey","快捷键绑定","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"bing","b","https://cn.bing.com/search?q={%p}","Bing搜索-关键词","Cmds-default","[7] xfold.ini","xfold.ini"
"bingimg","bi","https://www.bing.com/images/search?q={%p}","图片搜索-Bing-关键词","Cmds-default","[7] xfold.ini","xfold.ini"
"bmap","map","https://map.baidu.com/?newmap=1&ie=utf-8&s=s&wd={%p}","百度地图搜索-关键词","Cmds","[7] xfold.ini","xfold.ini"
"book","","https://search.douban.com/book/subject_search?search_text={%p}","图书搜索-豆瓣-关键词","Cmds","[7] xfold.ini","xfold.ini"
"cmdinput","i,ii","nothing({%p:xfoldCmdlineRun>x});send(^v,100)","输出xfold执行结果-命令行","Cmds-default","[7] xfold.ini","xfold.ini"
"cmdlineQuery","ll","cmdlineQuery","命令行搜索-命令行内容","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"cmdlineQueryCsv","llcsv","cmdlineQueryCsv","命令行搜索-CSV-命令行内容","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"cmdQuery","l","cmdQuery","命令行搜索-命令","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
"cmdQueryCsv","lcsv","cmdQueryCsv","命令行搜索-CSV-命令","Function","[4] mixins\a1-adv\internal\xfold-internal.ini","xfold-internal.ini"
